gene
AT4G11911
AT4G21830
AT2G39030
AT4G15200
AT1G51780
AT4G10290
AT5G26260
AT4G37409
AT4G37410
AT3G11180
AT3G28320
AT3G55100
AT3G26330
AT4G15210
AT5G38130
AT5G42800
AT5G24780
AT3G55970
AT1G66280
AT4G11310
AT3G09940
AT1G76640
AT3G45130
AT5G42655
AT4G17470
AT4G15100
AT4G22880
AT5G07010
AT1G69930
AT4G29690
AT4G22870
AT1G28480
AT2G47950
AT3G29110
AT1G26250
AT3G50280
AT1G26255
AT1G26390
AT5G59090
AT5G21960
AT3G59930
AT5G28235
AT4G35160
AT4G13410
AT1G54020
AT2G24850
AT5G12340
AT2G24210
AT4G13395
AT3G04170
AT5G54060
AT1G66370
AT3G43250
AT3G29590
AT1G07747
AT2G05440
AT5G19110
AT4G08869
AT1G28590
AT3G28300
AT2G39330
AT5G22545
AT3G23250
AT4G21850
AT5G56080
AT3G26830
AT4G37010
AT2G29460
AT1G66860
AT4G24340
AT3G11480
AT1G02930
AT3G28580
AT3G21800
AT1G61120
AT4G16590
AT4G05615
AT3G05695
AT5G24770
AT2G14290
AT1G69880
AT3G25780
AT5G44310
AT2G05510
AT1G60470
AT3G57260
AT2G25810
AT1G54095
AT5G57420
AT1G52040
ath-miR5014b
AT2G31180
AT2G45940
AT1G77530
AT5G56880
AT2G30830
AT1G79310
AT1G19250
AT4G09820
AT1G24070
AT1G32350
AT2G34500
AT5G41315
AT5G28237
AT3G57100
AT4G14630
AT2G13810
AT4G23590
AT1G73325
AT5G17220
AT5G48070
AT5G38120
AT1G26976
AT3G16450
AT1G19565
AT5G64810
AT1G61110
AT2G44840
AT5G57260
AT4G02360
AT2G04090
AT2G00920
AT1G79680
AT4G21680
AT3G25795
AT3G28290
AT1G14250
AT1G05575
AT3G48520
AT2G39310
AT4G08870
AT4G23700
AT1G54010
AT1G73330
AT5G05300
AT5G19100
AT1G52030
AT1G07777
AT3G44870
AT3G57950
AT4G08867
AT3G48850
AT3G25760
AT3G47050
AT2G44070
AT4G37140
AT1G02940
AT1G18520
AT5G07475
AT2G47180
AT1G13710
AT4G05625
AT3G27415
AT4G23600
AT3G27416
AT2G33350
AT5G22540
AT4G37150
AT4G07815
AT4G36510
AT5G23820
AT1G07373
AT5G26220
AT2G22930
AT1G32960
AT1G43160
AT2G06255
AT2G09670
AT2G41800
AT1G80840
AT3G01055
AT1G65890
AT4G27860
AT4G30540
AT1G19550
AT4G18440
AT5G59580
AT1G76790
AT4G17480
AT2G32487
AT3G11340
AT1G32910
AT1G52410
AT5G27060
AT2G07925
AT4G16730
AT1G19570
AT3G16470
AT5G03204
AT1G09505
AT1G19540
AT5G22570
AT1G28370
AT3G28340
AT4G39670
AT5G36220
AT2G45930
AT2G45220
AT3G02840
AT1G08813
AT1G76470
AT3G21680
AT3G10930
AT2G34810
AT4G11320
AT1G44350
AT1G61610
AT5G48850
AT5G07990
AT5G13330
AT1G67000
AT1G47395
